timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 13:25:09.819, 0, 3 %, 35 %, 1315 MiB, 12282 MiB, 210 MHz, 8.43 W, 29
2025/09/12 13:25:10.824, 0, 3 %, 33 %, 1315 MiB, 12282 MiB, 210 MHz, 8.80 W, 29
2025/09/12 13:25:11.830, 0, 3 %, 28 %, 1315 MiB, 12282 MiB, 210 MHz, 8.28 W, 29
2025/09/12 13:25:12.834, 0, 3 %, 26 %, 1319 MiB, 12282 MiB, 210 MHz, 7.55 W, 29
2025/09/12 13:25:13.840, 0, 3 %, 25 %, 1319 MiB, 12282 MiB, 210 MHz, 7.76 W, 29
2025/09/12 13:25:15.849, 0, 3 %, 25 %, 1315 MiB, 12282 MiB, 210 MHz, 8.51 W, 29
2025/09/12 13:25:16.859, 0, 4 %, 33 %, 1311 MiB, 12282 MiB, 210 MHz, 8.93 W, 29
2025/09/12 13:25:17.869, 0, 3 %, 44 %, 1311 MiB, 12282 MiB, 210 MHz, 8.51 W, 29
2025/09/12 13:25:18.877, 0, 3 %, 35 %, 1308 MiB, 12282 MiB, 210 MHz, 7.84 W, 29
2025/09/12 13:25:19.881, 0, 4 %, 37 %, 1294 MiB, 12282 MiB, 210 MHz, 7.96 W, 29
2025/09/12 13:25:20.885, 0, 4 %, 29 %, 1294 MiB, 12282 MiB, 210 MHz, 8.69 W, 29
2025/09/12 13:25:21.888, 0, 5 %, 31 %, 1294 MiB, 12282 MiB, 210 MHz, 8.89 W, 29
2025/09/12 13:25:22.892, 0, 4 %, 32 %, 1294 MiB, 12282 MiB, 210 MHz, 8.27 W, 29
2025/09/12 13:25:23.897, 0, 4 %, 34 %, 1294 MiB, 12282 MiB, 210 MHz, 7.70 W, 29
2025/09/12 13:25:24.901, 0, 5 %, 41 %, 1294 MiB, 12282 MiB, 210 MHz, 8.04 W, 29
2025/09/12 13:25:25.906, 0, 3 %, 32 %, 1294 MiB, 12282 MiB, 210 MHz, 8.71 W, 29
2025/09/12 13:25:26.910, 0, 3 %, 39 %, 1294 MiB, 12282 MiB, 210 MHz, 8.68 W, 29
2025/09/12 13:25:27.919, 0, 3 %, 35 %, 1294 MiB, 12282 MiB, 210 MHz, 8.05 W, 29
