procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 13772160 659356 8403096    0    0     0   148  620  637  0  0 100  0  0
 0  0      0 13772160 659356 8403108    0    0     0     0  649  589  0  0 100  0  0
 0  0      0 13772160 659356 8403108    0    0     0     4  691  614  0  0 100  0  0
 0  0      0 13769856 659356 8403112    0    0     0     0  948  708  0  2 98  0  0
 0  0      0 13769856 659356 8403116    0    0     0     0  725  621  0  0 100  0  0
 0  0      0 13769856 659364 8403112    0    0     0    44  808  700  0  0 99  0  0
 0  0      0 13886700 659364 8403124    0    0     0    52 1192  873  1  0 99  0  0
 0  0      0 13886868 659364 8403124    0    0     0     0  910  738  0  0 100  0  0
 0  0      0 13886868 659364 8403128    0    0     0     0  923  805  0  0 100  0  0
 0  0      0 13886868 659364 8403132    0    0     0     0  874  754  0  0 100  0  0
 1  0      0 13771072 659372 8403124    0    0     0    52 2027 1870  2  1 97  0  0
 0  0      0 13772208 659372 8403136    0    0     0    52 1055  938  1  0 99  0  0
 0  0      0 13772208 659372 8403140    0    0     0     0  777  652  0  0 99  0  0
 0  0      0 13772208 659372 8403144    0    0     0     0  737  668  0  0 100  0  0
 0  0      0 13772208 659372 8403144    0    0     0     0  724  673  0  0 100  0  0
17  0      0 13719316 659376 8403168    0    0     0    52 6044 8441 15  2 83  0  0
 1  0      0 13531336 659376 8403172    0    0     0    56 2738 2181  6  2 92  0  0
 2  0      0 13461280 659376 8403172    0    0     0     0 2554 1356  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 13403324 659380 8403204    0    0     0     0 1929 1150  5  2 93  0  0
 1  0      0 13329424 659380 8403220    0    0     0     0 1873 1066  5  2 93  0  0
 1  0      0 13177340 659384 8403240    0    0     0   116 1506  856  4  3 93  0  0
 1  0      0 12999932 659384 8403232    0    0     0   120 1902 1020  5  1 93  0  0
 1  0      0 13289408 659392 8403232    0    0     0 54160 1596  813  4  3 93  0  0
 0  0      0 13772076 659392 8403176    0    0     0     0 1747 1198  2  1 97  0  0
 0  0      0 13772076 659392 8403176    0    0     0     0  739  674  0  0 100  0  0
 0  0      0 13770844 659396 8403180    0    0     0   116  973  774  1  0 99  0  0
 0  0      0 13809940 659396 8403184    0    0     0     0 1191 1228  0  1 99  0  0
