timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], power.draw [W], temperature.gpu
2025/09/12 12:49:26.723, 0, 37 %, 14 %, 3495 MiB, 12282 MiB, 2550 MHz, 97.49 W, 50
2025/09/12 12:49:27.738, 0, 46 %, 32 %, 3495 MiB, 12282 MiB, 2415 MHz, 71.24 W, 43
2025/09/12 12:49:28.768, 0, 23 %, 10 %, 3495 MiB, 12282 MiB, 2760 MHz, 88.02 W, 47
2025/09/12 12:49:29.786, 0, 19 %, 9 %, 3495 MiB, 12282 MiB, 2760 MHz, 97.07 W, 49
2025/09/12 12:49:30.816, 0, 15 %, 7 %, 3523 MiB, 12282 MiB, 2250 MHz, 74.04 W, 42
2025/09/12 12:49:31.820, 0, 8 %, 4 %, 3529 MiB, 12282 MiB, 1545 MHz, 28.57 W, 39
2025/09/12 12:49:32.823, 0, 12 %, 4 %, 3525 MiB, 12282 MiB, 1095 MHz, 28.27 W, 39
2025/09/12 12:49:33.827, 0, 12 %, 5 %, 3527 MiB, 12282 MiB, 1395 MHz, 38.20 W, 38
2025/09/12 12:49:34.830, 0, 41 %, 14 %, 3522 MiB, 12282 MiB, 1440 MHz, 34.21 W, 38
2025/09/12 12:49:35.835, 0, 15 %, 6 %, 3525 MiB, 12282 MiB, 1515 MHz, 45.95 W, 40
2025/09/12 12:49:36.838, 0, 31 %, 12 %, 3521 MiB, 12282 MiB, 1260 MHz, 38.02 W, 39
2025/09/12 12:49:37.845, 0, 16 %, 6 %, 3521 MiB, 12282 MiB, 1365 MHz, 42.90 W, 39
2025/09/12 12:49:38.848, 0, 30 %, 11 %, 3521 MiB, 12282 MiB, 1380 MHz, 44.13 W, 41
2025/09/12 12:49:39.852, 0, 27 %, 11 %, 3521 MiB, 12282 MiB, 1635 MHz, 43.88 W, 39
2025/09/12 12:49:40.856, 0, 8 %, 4 %, 3521 MiB, 12282 MiB, 1635 MHz, 38.08 W, 40
2025/09/12 12:49:41.860, 0, 11 %, 4 %, 3525 MiB, 12282 MiB, 1350 MHz, 34.61 W, 39
2025/09/12 12:49:42.863, 0, 33 %, 17 %, 3521 MiB, 12282 MiB, 1350 MHz, 35.59 W, 39
2025/09/12 12:49:43.867, 0, 34 %, 14 %, 3521 MiB, 12282 MiB, 1380 MHz, 43.75 W, 39
2025/09/12 12:49:44.870, 0, 10 %, 4 %, 3525 MiB, 12282 MiB, 1380 MHz, 32.62 W, 40
2025/09/12 12:49:45.874, 0, 38 %, 11 %, 3521 MiB, 12282 MiB, 990 MHz, 36.74 W, 40
2025/09/12 12:49:46.877, 0, 16 %, 5 %, 3521 MiB, 12282 MiB, 1245 MHz, 38.53 W, 39
2025/09/12 12:49:47.881, 0, 39 %, 14 %, 3521 MiB, 12282 MiB, 1245 MHz, 33.04 W, 39
2025/09/12 12:49:48.885, 0, 32 %, 10 %, 3521 MiB, 12282 MiB, 1275 MHz, 38.18 W, 40
2025/09/12 12:49:49.888, 0, 35 %, 12 %, 3526 MiB, 12282 MiB, 1305 MHz, 44.12 W, 40
2025/09/12 12:49:50.892, 0, 35 %, 11 %, 3526 MiB, 12282 MiB, 1320 MHz, 43.79 W, 40
2025/09/12 12:49:51.896, 0, 41 %, 19 %, 3526 MiB, 12282 MiB, 1380 MHz, 39.05 W, 41
2025/09/12 12:49:53.739, 0, 34 %, 12 %, 3527 MiB, 12282 MiB, 1380 MHz, 42.55 W, 40
2025/09/12 12:49:54.743, 0, 20 %, 8 %, 3555 MiB, 12282 MiB, 1275 MHz, 41.35 W, 40
2025/09/12 12:49:55.746, 0, 37 %, 18 %, 3553 MiB, 12282 MiB, 1545 MHz, 42.69 W, 39
2025/09/12 12:49:56.757, 0, 17 %, 8 %, 3535 MiB, 12282 MiB, 1095 MHz, 34.81 W, 39
2025/09/12 12:49:57.760, 0, 46 %, 17 %, 3539 MiB, 12282 MiB, 1425 MHz, 40.79 W, 38
2025/09/12 12:49:58.764, 0, 30 %, 12 %, 3535 MiB, 12282 MiB, 1425 MHz, 43.34 W, 42
2025/09/12 12:49:59.768, 0, 43 %, 21 %, 3518 MiB, 12282 MiB, 1560 MHz, 44.26 W, 40
2025/09/12 12:50:00.771, 0, 28 %, 12 %, 3523 MiB, 12282 MiB, 1560 MHz, 37.42 W, 39
2025/09/12 12:50:01.775, 0, 9 %, 3 %, 3523 MiB, 12282 MiB, 1185 MHz, 36.63 W, 39
