procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12609064 657140 8311164    0    0     0     0 2140 1955  6  1 93  0  0
 1  0      0 12608088 657140 8311220    0    0     0     0 2605 2292  6  1 93  0  0
 1  0      0 12605336 657148 8311308    0    0     0    80 2796 2382  6  1 93  0  0
 1  0      0 12605084 657148 8311380    0    0     0    84 1964 1575  6  1 93  0  0
 1  0      0 12604580 657148 8311432    0    0     0   368 2080 1660  6  1 93  0  0
 1  0      0 12604080 657148 8311512    0    0     0     0 2126 1796  6  1 93  0  0
 1  0      0 12606924 657148 8311684    0    0     0     0 3013 2991  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 12607720 657152 8311744    0    0     0   104 2602 2083  6  1 93  0  0
 1  0      0 12607812 657152 8311804    0    0     0     0 2170 1942  6  1 93  0  0
 1  0      0 12604788 657152 8311944    0    0     0   524 2167 1895  6  1 93  0  0
 1  0      0 12601764 657152 8311956    0    0     0     0 2199 1962  6  1 93  0  0
 1  0      0 12603124 657152 8312056    0    0     0     0 2819 2490  6  1 93  0  0
 1  0      0 12601612 657152 8312104    0    0     0    84 2468 2005  5  2 93  0  0
 1  0      0 12601612 657152 8312168    0    0     0     0 1907 1521  5  1 93  0  0
 1  0      0 12601360 657152 8312300    0    0     0   432 2023 1592  6  1 93  0  0
 1  0      0 12601360 657152 8312300    0    0     0     0 2166 2026  6  1 93  0  0
 1  0      0 12602528 657152 8312444    0    0     0     0 2567 2251  6  1 93  0  0
 1  0      0 12600540 657160 8312444    0    0     0    84 2631 2178  6  1 93  0  0
 1  0      0 12600036 657160 8312524    0    0     0     0 2633 2904  6  1 93  0  0
 1  0      0 12600036 657168 8312524    0    0     0   476 1974 1556  6  1 93  0  0
 1  0      0 12600036 657168 8312744    0    0     0     0 2046 1688  6  1 93  0  0
 1  0      0 12600064 657168 8312744    0    0     0     0 2782 2711  6  1 93  0  0
 1  0      0 12606052 657176 8312820    0    0     0   124 2649 2447  6  1 93  0  0
 1  0      0 12605548 657176 8312820    0    0     0     0 2109 1884  6  1 93  0  0
 1  0      0 12605548 657176 8312888    0    0     0     0 1981 1748  6  1 93  0  0
 1  0      0 12605548 657176 8312964    0    0     0   252 1882 1502  6  1 93  0  0
 1  0      0 12603040 657176 8313156    0    0     0     0 2644 2267  6  1 93  0  0
 1  0      0 12604880 657176 8313240    0    0     0    76 2376 1938  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 12604376 657176 8313380    0    0     0     0 2146 1839  6  1 93  0  0
 1  0      0 12604152 657176 8313436    0    0     0     0 2039 1795  6  1 93  0  0
 1  0      0 12603928 657176 8313512    0    0     0   576 2158 1852  6  1 92  0  0
 1  0      0 12601444 657176 8313576    0    0     0     0 2785 2794  6  2 93  0  0
 1  0      0 12599188 657180 8313596    0    0     0   104 2608 2516  6  1 93  0  0
 1  0      0 12598936 657180 8313736    0    0     0     0 1936 1666  6  1 93  0  0
 1  0      0 12597928 657180 8313728    0    0     0     0 2190 1910  6  1 93  0  0
 2  0      0 12596920 657180 8313792    0    0     0   504 2152 1842  6  1 93  0  0
 1  0      0 12597172 657180 8313868    0    0     0     0 2461 2010  6  1 93  0  0
 1  0      0 12598344 657180 8313880    0    0     0   104 2674 2214  5  2 93  0  0
 1  0      0 12621652 657180 8313944    0    0     0     0 2187 1879  5  1 93  0  0
 1  0      0 12622816 657180 8313992    0    0     0     0 2111 1880  6  1 93  0  0
 1  0      0 12622060 657184 8314076    0    0     0   276 2247 2254  6  1 93  0  0
 1  0      0 12597112 657184 8314144    0    0     0     0 2540 2067  6  2 93  0  0
 1  0      0 12604064 657192 8314148    0    0     0    96 2601 2221  6  1 93  0  0
 1  0      0 12604064 657192 8314140    0    0     0     0 2224 2033  6  1 93  0  0
 1  0      0 12603948 657192 8314204    0    0     0     0 2197 1951  6  1 93  0  0
 1  0      0 12603668 657192 8314272    0    0     0   328 2167 1909  6  1 93  0  0
